0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
"RT @grtshakers: Hi @Flipkart, wrong product was delivered. Can someone from the team connect on this? Screenshot attached for more clarity.…","     ,                            .                                          ?                                     .…",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@takhatiya फ्लिपकार्ट से आर्डर किया कैमरा और जब बॉक्स खोला तो निकला केवल बैटरी , यह घटना @RiderChetan1 के साथ हुई… https://t.co/XYjMlJI5vZ","  फ्लिपकार्ट से आर्डर किया कैमरा और जब बॉक्स खोला तो निकला केवल बैटरी , यह घटना  1 के साथ हुई…      :// .  /       5  ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@flipkartsupport check massage @flipkartsupport @Flipkart,                   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@thetymonbay @nothing @Flipkart @getpeid :( I just want a Nothing phone!!! :( The wait seems eternal. Phone na hua,… https://t.co/KtVWUp3CC7","        :(                            !!! :(                       .             ,…      :// .  /      3  7",-0.875,1.0,negative,1.69,0.31,0.0,-0.7701
"@Flipkart Plz cancel this ,,so that customer pay cash on delivery .plz plz consider this strictly https://t.co/emDYDyj54x","                  ,,                                      .                                    :// .  /       54 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @motorolaindia: Sounds come alive with #motog42. Powered by Stereo Speakers with Dolby Atmos, your sound will be more immersive than eve…","                        #     42.                                            ,                                           …",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @PaIakSo58826950: Hey @Flipkart 30 days is completed but yet I not received my prize. Send me as soon as possible.

In your T&amp;C you ment…","       30                                                  .                            .

         &   ;          …",0.0,0.0,neutral,0.0,2.0,0.0,0.0
RT @buildingnothing: @ms11bhagav @nothingsupport @nothing @Flipkart @flipkartsupport 30 July at 12PM,  11               30         12  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@buildingnothing @ms11bhagav @nothingsupport @nothing @Flipkart @flipkartsupport How the production going?.... Can… https://t.co/S2IElPUecp,   11                                       ?....    …      :// .  / 2        ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"You are the only one Earrings...
Get the same Koreanstyle Earring for yourself now in India... DM for more Details… https://t.co/2v6uOm0Zlh","                             ...
                                                          ...                    …      :// .  /2 6   0   ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart Suar log,          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @motorolaindia: Get the style that goes the extra mile with #motog42. Powerful features, brilliant colours, light design and light on yo…","                                             #     42.                  ,                  ,                             …",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@flipkartsupport You are giving only false commitment here. You do nothing only doing formally here. Same on you fl… https://t.co/DruRSSH2ot,                                           .                                        .               …      :// .  /       2  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@flipkartsupport Chk promised resolution date. Useless support from flipkart @Flipkart,                              .                                ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Flipkart Hey Flipkart
Can you please let me know why my order num OD125545659817228000 is not still picked up but… https://t.co/yaSaRGwR2e","              
                                              12554565 817228000                           …      :// .  /        2 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @msdhoni: Great weather and Pubg.This headset feels so comfortable, I could wear it all day. Check out @soundlogic.in's Voice Assistant…","                       .                                 ,                        .            .  '                 …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@flipkartsupport @Flipkart plzzz call me 😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢🙏🙏🙏🙏🙏🙏🙏🙏,                  😢😢😢😢😢😢😢😢😢😢😢😢😢😢😢🙏🙏🙏🙏🙏🙏🙏🙏,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart @flipkartsupport  I'm surprised that a single query was unable to resolve from your customer care. After… https://t.co/9sfpFVdw3g,      '                                                                             .      …      :// .  /        3 ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@realmeTechLife @Flipkart Best Tablet at this price 🔥🔥😍
#HeyCreatives
#realmePadX
#realmePencil  
#realmeKeyboard
@realmeIndia","                              🔥🔥😍
#            
#          
#              
#              
 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
OD225423182275563000 @flipkartsupport @Flipkart pickup not done yet kindly check,  225423182275563000                                     ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@mangatinanda @buildingnothing @Flipkart Bwahahahahah!

#SaveYourselves, indeed.

#SorryNotSorry","                  !

#              ,       .

#             ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @realmeTechLife: #HeyCreatives, all your creative fantasies are now possible with #realmePadX. 

Spread your wings and imagine endlessly…"," #            ,                                                   #          . 

                                       …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Flipkart Fraudiye chor,               ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@KumarVedansh3 @buildingnothing @nothing @Flipkart @nothingsupport 8, 256 Black"," 3         8, 256      ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@flipkartsupport @Flipkart @flipkartsupport Not received the refund yet, you promised i would receive it within 24… https://t.co/8GFihv8Qyu","                                 ,                                        24…      :// .  /8     8   ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
Flipkart चोर है @Flipkart @FlipkartW @flipkartsupport @Fli,         चोर है        ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"I requested to 
@Flipkart 
for my missing products. I got delivered empty box delivery from flipkart. But flipkart… https://t.co/C0d3KVlRee","               
  
                       .                                                 .             …      :// .  / 0 3      ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@BhavnoorSB @buildingnothing @agrawal_anoop @Flipkart Ohhh..
Think I got your earlier point.

Welcome to the club..… https://t.co/QAZz67jPlh","     _            ..
                              .

                   ..…      :// .  /    67    ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
RT @AshwaniMundra: @Flipkart @flipkartsupport @IncomeTaxIndia @GST_Council @dir_ed @jagograhakjago FLIPKART IS MISUSING CUSTOMERS MONEY by…,        _         _                                            …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Flipkart @flipkartsupport @IncomeTaxIndia @GST_Council @dir_ed @jagograhakjago FLIPKART IS MISUSING CUSTOMERS MONE… https://t.co/CPgVzNZlB7,       _         _                                        …      :// .  /         7,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart, ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@flipkartsupport @Flipkart 
में तीन दिन से इंतजार कर रहा हूं अभी तक फ्लिप्कार्ट टीम मेरी सहायता करने में असमर्थ हैं। https://t.co/DewUImwYUP","    
में तीन दिन से इंतजार कर रहा हूं अभी तक फ्लिप्कार्ट टीम मेरी सहायता करने में असमर्थ हैं।      :// .  /          ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"I have concern for my order id - OD225561521424846000
It is not working perfectly. And i am not getting any respons… https://t.co/ctSHC2E5A4","                                   225561521424846000
                           .                                 …      :// .  /     2 5 4",0.0,0.0,neutral,0.0,2.0,0.0,0.0
RT @motorolaindia: Get vivid visuals with #motog42 with a crystal-clear 6.4” FHD+ AMOLED Display giving you a lifelike experience every tim…,                        #     42                      6.4”    +                                                          …,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Hey @Flipkart @flipkartsupport , i used ur sell back service to sell my phone on Flipkart and i was promised that m… https://t.co/BwyOlLEb0C","        ,                                                                                   …      :// .  /        0 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Why is it so frickin difficult to contact customer care or get any help on #flipkartsupport #flipkart 
Requesting a… https://t.co/W4rIphM6Xp","                                                                           #                #         
            …      :// .  / 4     6  ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@ArpitGu34675471 @Flipkart @flipkartsupport @nothing @buildingnothing At least you could cancel your order.
I'm not even able to cancel it🥺"," 34675471                                             .
 '                            🥺",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart @flipkartsupport I want my money back refund.,                               .,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Prasadtechfan @Trolling_isart @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/0yxqTh66pP,   _                 _     …      :// .  /0     66  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @SomaDut96461948: #BoycottFlipkart
#BoycottAmazon till tey remove t product defaming SUSHANT

@Flipkart @amazonIN
SUSHANT WAS BRUTALLY M…"," #               
#                                                        

   
                      …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Flipkart @flipkartsupport I had applied for Flipkart Axis bank credit card with 1000 Rs flipkart voucher offe rbut… https://t.co/M0HZwf5A06,                                                          1000                              …      :// .  / 0    5 06,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@_RadhikaReports @nothing @Flipkart @getpeid They know it won't sell that well in front of Oppo, Vivo, and Realme i… https://t.co/9c7ZPsGRO3","@_                                     '                                 ,     ,             …      :// .  /  7      3",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@SsrRules @blacksheep_119 @Flipkart #BoycottBolywood 
#BoycottFlipkartandAmazon till they remove Sushant's pic and… https://t.co/GIfLNuMBbr","   _11    #                
#                                                 '         …      :// .  /          ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
Cash on delivery ki advance enduku ra malla otp gatra adugutunnav @Flipkart,                                                                   ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Trolling_isart @Prasadtechfan @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/WTEf6oNVkZ, _                   _     …      :// .  /    6     ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart @flipkartsupport @FlipkartStories @WorkAtFlipkart 
HELLO Flipkart ! 25 july mera wife received kiya produ… https://t.co/QZFPBDtK2B","        
               ! 25                                   …      :// .  /        2 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @SsrRules: Sale! Sale! Sale!
New arrivals❗
Loot Lo India❗
Aur bach jaye to Bingo Singh ko de dena!😂
@Flipkart Sale this n make millions…","     !     !     !
            ❗
             ❗
                                       !😂
                           …",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@flipkartsupport Hi @flipkartsupport @Flipkart , I am sending you messages privately and you are simply ignoring th… https://t.co/lJOOTaXtOo","         ,                                                                   …      :// .  /          ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart is not helping me. In flipkart platform seller sold product above MRP. Product SL no not mentioned in inv… https://t.co/XadpvbXvUr,                   .                                                   .                                   …      :// .  /          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@realmeIndia i bought a Realme narzo 50 from flipkart in your ads they said it's 50mp but the camera it's not that… https://t.co/XUpUYGqDaF,                          50                                       '  50                    '          …      :// .  /          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart @flipkartsupport 
Horrible experience with your customer support and logistics team. My order dated 21-7-… https://t.co/lLchEqwXYc","    
                                                                 .                21 7 …      :// .  /          ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @dineshg59742760: Dear @Flipkart , are you able to deliver my order on time?? First delivery date was 26th July, second was 28th July ,…","        ,                                         ??                         26       ,            28        ,…",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart Chu**ye log sudhroge nahi, koi order time par deliver hota nahi hai. Customer care ke pass resolution hot… https://t.co/9uUoMswo6b","     **                    ,                                         .                                     …      :// .  /        6 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Dear @Flipkart , are you able to deliver my order on time?? First delivery date was 26th July, second was 28th July… https://t.co/42K66d9yIP","       ,                                         ??                         26       ,            28       …      :// .  /42 66     ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"🔔 #Flipkart down?

🔗 Real-time status: https://t.co/pLoUYmJPwS

🔁 RETWEET if you are affected too.

#FlipkartDown… https://t.co/wWky5SIVp3","🔔 #             ?

🔗                 :      :// .  /          

🔁                                .

#            …      :// .  /    5    3",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart Dear Flipkart I want to buy AC from your company.  But since long time i see it always showing not delive… https://t.co/O9iXYXDIiX,                                                  .                                                        …      :// .  /          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
Hey @Flipkart @flipkartsupport why are you sending me links to DM you when those links doesn't work. Are you really… https://t.co/rlk0qA0Sjq,                                                                     '      .               …      :// .  /   0  0   ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart https://t.co/NzGKra2ad2,       :// .  /      2  2,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart Hello Fraud company aur kitno ko chu...ya banaoge,                                      ...          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@techbharatco @thetymonbay @nothing @Flipkart Giveaway karde bhaiya...,                             ...,0.0,0.0,neutral,0.0,2.0,0.0,0.0
RT @AshwaniMundra: @Flipkart @flipkartsupport @jagograhakjago Yesterday my return was to be picked up and there delivery boy denied and tod…,                                                                                    …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @AshwaniMundra: @flipkart @flipkartsupport How Flipkart is running a SCAM, I have seen there are many consumers who are suffering from t…","                                   ,                                                              …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
RT @techbharatco: @thetymonbay @nothing @Flipkart Got mine delivered on 25th after some struggle. https://t.co/APmHL5PMug,                             25                      .      :// .  /     5    ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"I'm facing issues regarding Flipkart E-commerce Service Provider, 24 july 2022 order no OD125545635634017000 on dat… https://t.co/9n7ZoEpotE"," '                                                              , 24      2022            125545635634017000       …      :// .  /  7       ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@sengar_anivesh @Trolling_isart @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/Nu12vsTY8t, _         _                 _     …      :// .  /  12    8 ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Flipkart: ಕಡಿಮೆ ಬೆಲೆಗೆ ಖರೀದಿಸಿ Moto ಕಂಪನಿಯ ಈ ಸ್ಮಾರ್ಟ್​ಫೋನ್

#Flipkart #smartphones

 https://t.co/werWQAgHcb","        : ಕಡಿಮೆ ಬೆಲೆಗೆ ಖರೀದಿಸಿ      ಕಂಪನಿಯ ಈ ಸ್ಮಾರ್ಟ್​ಫೋನ್

#         #           

      :// .  /          ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@nothing @PhoneNothing says the instrument is faulty and we shall refund the money @flipkartsupport @Flipkart… https://t.co/GKOm6hPQOE,                                                                   …      :// .  /    6     ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
What’s wrong with you guys @Flipkart are you joking. Why my order isnt getting replace or returned. Why are you mak… https://t.co/ISGHMCzV73,    ’                                      .                                              .                …      :// .  /        73,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Prasadtechfan @Trolling_isart @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/mTCq2pXjs4,   _                 _     …      :// .  /    2    4,0.0,0.0,neutral,0.0,2.0,0.0,0.0
SSR Untainted By SmearCampaign:Flipkart is proving over the time that for them LOYALTY towards BD is much more impo… https://t.co/4taXsQFL4p,                              :                                                                                    …      :// .  /4       4 ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@thetymonbay @nothing @Flipkart What I dont understand is why @getpeid is not taking a retail sales approach! Flipk… https://t.co/cKqJKsHdx9,                                                                           !      …      :// .  /          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@flipkartsupport @Flipkart @_Kalyan_K @aliaa08 is it going to deliver it today or I wait for seller notification to cancel my order.,    @_      _   8                                                                                     .,0.0,0.0,neutral,0.0,2.0,0.0,0.0
Flipkart भी बाकी ऐप की तरह हो गया है शॉपिंग करे मगर यह से नही कही ओर से क्योंकि ये देने के बाद कोई जिम्मेदारी नही… https://t.co/oltY5Pz8OV,         भी बाकी ऐप की तरह हो गया है शॉपिंग करे मगर यह से नही कही ओर से क्योंकि ये देने के बाद कोई जिम्मेदारी नही…      :// .  /    5  8  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@flipkartsupport #Flipkart  still my issue not resolved 

What services you provide 
Wrong committee give by flipkart","  #                                      

                          
                                ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@Flipkart I received wrong product,with damage https://t.co/B8fjI3m0DS logo on product,fake product dispathed.Unabl… https://t.co/5AESrIqiuI","                          ,                 :// .  / 8   3 0                  ,                      .     …      :// .  /5         ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart @flipkartsupport 
Very bad service I have ever seen.Just now I place an order,by mistake I placed the wro… https://t.co/WQA00YnQpH","    
                                 .                         ,                           …      :// .  /   00     ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Dear @flipkartsupport @Flipkart @FlipkartStories @WorkAtFlipkart  my issue is still not resolved.
@PMOIndia","                                            .
 ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Kirun_View @Flipkart Safe eh, _              ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Flipkart https://t.co/E7XHgC4uYJ,       :// .  / 7    4   ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
It's been worst waiting even It's my money stuck with you you people not even caring about customers just i shouldn… https://t.co/U5GbsZjADx,  '                            '                                                                                   …      :// .  / 5        ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart https://t.co/SAqrFpXOdT,       :// .  /          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @Dealbreaker30: Loot:- SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV @ 45867
Best @Flipkart
Icici cc-…","     :                    2021        125    (50     )               (4 )                @ 45867
      
         …",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Loot:- SAMSUNG The Frame 2021 Series 125 cm (50 inch) QLED Ultra HD (4K) Smart Tizen TV @ 45867
Best @Flipkart
Icic… https://t.co/EFXWdWaQ01","    :                    2021        125    (50     )               (4 )                @ 45867
      
    …      :// .  /        01",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart Waiting for ur call from last three days https://t.co/UL4m0zNadX,                                                :// .  /  4 0     ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart My product is near by me 18/07/2022 but not delivery yet ,I'm call many times of #flipkartsupport  he/she… https://t.co/g3zIr1eITS","                           18/07/2022                      , '                     #                   /   …      :// .  / 3   1    ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @realmeTechLife: Go on a creative spree with the 60.5cm (23.8"") #realmeFlatMonitorFullHD that comes with: 
✅  75Hz High Refresh Rate
✅…","                                 60.5   (23.8"") #                                       : 
✅  75                    
✅…",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @Vivo_India: Power through the day without breaking a sweat thanks to Segment's First 4 Layer Cooling System on the all-new #vivoT1x!

H…","                                                                 '        4                                     #     1 !

 …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"RT @arvindtw: With 104 #unicorns at a combined valuation of $340 billion, the Indian #startup ecosystem is poised to gallop further to make…","      104 #                                    $340        ,            #                                                     …",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"hey @AmazonHelp @amazon looks like you guys have a great first quarter profit bookings, thats why you don't wants t… https://t.co/rwKCtiPX0e","                                                                      ,                  '         …      :// .  /        0 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart Theee Days passed out still I am waiting for ur call https://t.co/V4LFarMrnx,                                                            :// .  / 4        ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
. @Flipkart UPI payment safe ae na???,.                         ???,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Kross Challenge 20T Kids Bicycle
Contact Us 8175053337
Visit https://t.co/gjz4c5jYGt

Cash On Delivery Available
Ea… https://t.co/ion8L1zCuv","                20              
           8175053337
           :// .  /   4 5    

                          
  …      :// .  /   8 1    ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@flipkartsupport @Flipkart @flipkartsupport is terrible and pathetic. Everytime I call, they say our team will cont… https://t.co/XWVTYm1y1r","                              .                 ,                            …      :// .  /      1 1 ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"DAY 35 ISSUE STILL NOT SOLVE
Shame on your Technical team, shame on your Customer Services who has transferred my m… https://t.co/iJvyae6DqW","    35                      
                            ,                                                         …      :// .  /      6   ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@smmahajan999 @BandBajaateRaho @SamsungIndia @Flipkart https://t.co/04S0fCp0cA,             :// .  /04 0   0  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
Guys never purchase New mobile with exchange of older one on @Flipkart. I ordered a mobile n provided older phone d… https://t.co/ALyT40Pkfb,                                                              .                                            …      :// .  /    40    ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Prasadtechfan @Trolling_isart @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/1MZPN1SRJZ,   _                 _     …      :// .  /1    1    ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart @flipkartsupport @FlipkartStories @WorkAtFlipkart @FlipkartSellers @_Kalyan_K @_sachinbansal… https://t.co/KyoE7aEHvA,          @_      _  @_            …      :// .  /    7     ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart It seems to bug with the supercoin section in your app.
Coins are not getting credited to the account aft… https://t.co/ODda7rPQJL","                                                        .
                                                 …      :// .  /    7     ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@Flipkart 
मैने एक ऑर्डर किया था flipkart से ऑर्डर करने के आज 7दिन बाद भी ऑर्डर ship नही हुआ है।","  
मैने एक ऑर्डर किया था          से ऑर्डर करने के आज 7दिन बाद भी ऑर्डर      नही हुआ है।",0.0,0.0,neutral,0.0,2.0,0.0,0.0
I ordered a product from @Flipkart . It is not working. There is no response from customer service. These are unexp… https://t.co/uLzwjfgyEf,                           .                  .                                           .                …      :// .  /          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"Please help me in this.
This been a month i am facing problem, please resolve.

@Flipkart @flipkartsupport… https://t.co/UZsnv99kOx","                      .
                                     ,               .

   …      :// .  /          ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart https://t.co/yfLzLP43HD,       :// .  /      43  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@flipkartsupport @Flipkart abey saalon kuch toh sharm kar lo,                                     ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
@Flipkart https://t.co/inIelfAHQQ,       :// .  /          ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"I received this email on 26 Jul, 2022...
It shows the amount of 1199 added to gift card in 24hrs....
Nd now complet… https://t.co/y6ciu5VZzZ","                         26    , 2022...
                       11                         24   ....
              …      :// .  / 6   5    ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @DIZOTech: 60 minutes until you can get #DIZOWatchDSharp from your @flipkart 🛒 to your 🚪

Are you ready?"," 60                           #                            🛒         🚪

             ?",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Trolling_isart @Prasadtechfan @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/9laFOFh0bC, _                   _     …      :// .  /       0  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
"ok, @Flipkart https://t.co/UO9AyuNOjg","  ,        :// .  /          ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"@flipkartsupport @Flipkart 
मैं काफी परेशान हो गया हु, 5 6 बार कस्टमर केयर से बात हुई वहा भी बस टाल रहे है।
मैने शू… https://t.co/R5LBWdsfBc","    
मैं काफी परेशान हो गया हु, 5 6 बार कस्टमर केयर से बात हुई वहा भी बस टाल रहे है।
मैने शू…      :// .  / 5        ",0.0,0.0,neutral,0.0,2.0,0.0,0.0
"RT @Flipkart: gm 

Flipkart exploring web3 wen? Right about now!

Here's to innovating for Bharat 🙌

WAGMI 🚀

BUIDL with us at https://t.co…","    

                      3    ?                !

    '                           🙌

      🚀

                      :// .  …",0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Prasadtechfan @Trolling_isart @motorolaindia @GoogleIndia @SamsungIndia @realmeIndia @IqooInd @Vivo_India… https://t.co/ngTXWnm4VT,   _                 _     …      :// .  /       4  ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
@Flipkart @flipkartsupport @jagograhakjago Yesterday my return was to be picked up and there delivery boy denied an… https://t.co/2ZCNSDhh9W,                                                                              …      :// .  /2         ,0.0,0.0,neutral,0.0,2.0,0.0,0.0
